date,category,title,amount
2018-11-10,restaurante,Seara,7.5
2018-11-10,restaurante,Madero Itajai,47
2018-11-10,restaurante,Madero Itajai,17
2018-11-13,restaurante,Restaurante Manias,20.5
2018-11-13,restaurante,Restaurante Manias,12
2018-11-14,restaurante,Restaurante Manias,18
2018-11-14,restaurante,Restaurante Manias,12
2018-11-14,restaurante,Restaurante Manias,5
2018-11-14,restaurante,Restaurante Manias,2.5
2018-11-15,restaurante,Lanchonete Dusky,7
2018-11-15,restaurante,Restaurante Manias,18
2018-11-15,restaurante,Restaurante Manias,11.25
2018-11-15,restaurante,Restaurante Manias,24
2018-11-17,restaurante,Burger Ki,20.9
2018-11-17,restaurante,Restaurante Manias,12
2018-11-19,eletrônicos,Pag*Relicarioartdoces,27
2018-11-19,restaurante,Jp Comercio de Aliment,28.5
2018-11-20,restaurante,Restaurante Manias,18.5
2018-11-21,restaurante,Restaurante Manias,18
2018-11-21,restaurante,Restaurante Manias,8.5
2018-11-21,restaurante,Restaurante Manias,6.5
2018-11-21,restaurante,Lanchonet,7
2018-11-21,restaurante,Lanchonete Dusky,12.5
2018-11-23,restaurante,Restaurante Manias,20
2018-11-23,restaurante,Restaurante Manias,24.4
2018-11-23,serviços,Barbearia Juniors,30
2018-11-14,restaurante,Restaurante Manias,12
2018-11-24,restaurante,Restaurante Manias,19.9
2018-11-24,restaurante,Lanchonet,4.5
2018-11-26,saúde,Astro Joalheria Otica,10
2018-11-26,supermercado,Deep Beer,9
2018-11-26,restaurante,Mcdonaldsbc,37.5
2018-11-26,supermercado,Deep Beer,9
2018-11-26,restaurante,Stannis Pub,109.06
2018-11-26,supermercado,Koch Hipe,17.07
2018-11-27,restaurante,Stannis Pub,6.6
2018-11-26,restaurante,Restaurante Manias,2.5
2018-11-27,restaurante,Restaurante Manias,8.5
2018-11-27,restaurante,Restaurante Manias,10
2018-11-28,restaurante,Lanchonete Dusky,6.75
2018-11-28,restaurante,Restaurante Manias,6
2018-11-28,restaurante,Acai Sarado Lanches,11
2018-11-28,restaurante,Restaurante Manias,19.9
2018-11-29,restaurante,Restaurante Manias,8.5
2018-11-29,restaurante,Restaurante Manias,13
